"label","feature_text"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹53,584 to ZOMATO could not be processed due to bank server issue."
"BLOCK","[CATEGORY_UNKNOWN] | com.cleaner.boost | Storage 31% full! Clear junk files to free up space."
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Transaction of AED 1000.00 debited from your a/c ****0535 at COCOON HEALTH & BEAUTY AL AIN AE. Avl Bal is AED 327.37"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Long after I quit. I get on only like 5 minutes a day as it is."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | GOD ASKED, \What is forgiveness?\' A little child gave lovely reply"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | I dont know what to do to come out of this so only am ask questions like this dont mistake me."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Guess who spent all last night phasing in and out of the fourth dimension"
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | ₹26,301 paid successfully to OLA. Ref No: 1264591503."
"ALLOW","[CATEGORY_FINANCE] | com.csam.icici.bank.imobile | Your Salary of INR 81,978.00 has been credited to ICICI Bank Acct XX2741."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | Bank transfer of ₹56,253 to Priya successful."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹92,543 to SWIGGY could not be processed due to bank server issue."
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Autopay for AIRTEL of ₹25,912 was successful."
"BLOCK","[CATEGORY_FRAUD] | com.google.android.apps.messaging | Your visa slot is blocked under your name. Send passport copy and advance amount within one hour."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub"
"ALLOW","[CATEGORY_SOCIAL] | org.telegram.messenger | Pooja joined Telegram!"
"ALLOW","[CATEGORY_FINANCE] | com.phonepe.app | Payment failed! ₹58,141 to FLIPKART could not be processed due to bank server issue."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | Bank transfer of ₹63,026 to Divya successful."
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Laptop at just ₹150. Sale ends tonight!"
"ALLOW","[CATEGORY_SOCIAL] | com.whatsapp | Group 'College Group': I have sent the document."
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | 0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\'"
"BLOCK","[CATEGORY_SHOPPING] | com.flipkart.android | BIG BILLION DAYS! 🔥 Get Sneakers at just ₹999. Sale ends tonight!"
"BLOCK","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | Dear Customer, AED 32.52 was debited from your account *535. Your available account balance is AED 313.13"
"ALLOW","[CATEGORY_FINANCE] | com.google.android.apps.messaging | PNB Alert: A/C X5986 credited by Rs 7,937.00 on 30-Jun-26 by IMPS."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Lol for real. She told my dad I have cancer"
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Siddharth as a beneficiary. Cooling period of 4 hours active."
"ALLOW","[CATEGORY_FINANCE] | com.dreamplug.androidapp | Reminder: Your ICICI credit card bill of ₹73,222 is due tomorrow. Pay now to avoid fees."
"ALLOW","[CATEGORY_FINANCE] | com.sbi.YONO | You have successfully added Suresh as a beneficiary. Cooling period of 4 hours active."
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | Its just the effect of irritation. Just ignore it"
"ALLOW","[CATEGORY_UNKNOWN] | com.google.android.apps.messaging | You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day."
"BLOCK","[CATEGORY_TRANSPORT] | com.olacabs.customer | Missed us? Here's 70% off your next 3 rides. Use code CRAVINGS."
"ALLOW","[CATEGORY_FINANCE] | net.one97.paytm | ₹67,078 paid successfully to OLA. Ref No: 6025112016."
